喜馬拉雅貓,Himalayan
索馬利貓,Somali
威爾斯貓,Cymric
東方長毛貓,Oriental Longhair
日本短尾長毛貓,Japanese Bobtail Longhair
蘇格蘭摺耳長毛貓,Scottish Fold Longhair
緬因貓,MAINE COON
挪威森林貓,NORWEGIAN FOREST CAT
美國捲耳貓,AMERICAN CURL LONGHAIR
巴里貓,BALINESE
布偶貓,RAGDOLL
波斯貓,Persian Longhair
伯曼貓,BIRMAN
西伯利亞貓,BROWN SPOTTED
安哥拉貓,ANGORA
蘇格蘭摺耳貓,Scottish Fold
歐洲短毛貓,European Shorthair
歐西貓,Ocicat
得文捲毛貓,Devon
曼基康貓,Munchkin
夏爾特流貓,Chartreux
英國短毛貓,BRITISH SHORTHAIR
美國短尾貓,American Bobtail
美國捲耳貓,AMERICAN CURL SHORTHAIR
孟買貓,Bombay
孟加拉貓,BENGAL
外國種短毛貓,Sphynx
暹邏貓,SIAMESE
緬甸貓,BURMESE
新加坡貓,Singapura
曼島貓,MANX
埃及貓,EGYPTIAN MAU
美國短毛貓,AMERICAN SHORTHAIR
美國捲耳貓,AMERICAN CURL SHORTHAIR
科拉特貓,KORAT
柯尼斯捲毛貓,CORNIGH REX
俄國短毛貓,Russian Blue
阿比西尼亞貓,ABYSSINIAN
東奇尼貓,TONKINESE
東方短毛貓,Oriental Shorthair
加拿大無毛貓,Sphynx
日本短尾貓,Japanese Bobtail
哈瓦那貓,Havana
